AMOSTRAGEM 0
Origem - Destino ['193S7', '2S28']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(['42S52', '42S53', '28S3', '28S4', '28S5', '28S6', '28S7', '28S8', '147S17', '147S18', '147S19', '147S20', '147S21', '147S22', '115S0', '115S1', '115S2', '115S3', '115S4', '115S5', '115S6', '115S7', '115S8', '115S9', '115S10', '115S11', '113S0', '113S1', '625S18', '625S19', '113S2', '113S3', '625S21', '625S22', '625S23', '625S24', '625S25', '113S10', '625S27', '625S28', '625S29', '625S30', '113S12', '113S13', '22S27', '22S28', '246S3', '246S4', '194S13', '625S32', '625S33', '625S34', '113S15', '625S35', '625S36', '625S37', '625S38', '616S3', '113S24', '113S25', '168S3', '60S8', '60S9', '199S7', '60S6', '199S9', '39S12', '39S13', '199S11', '265S3', '595S11', '595S12', '176S19', '176S20', '235S12', '61S29', '61S30', '232S5', '232S6', '232S7', '221S22', '181S9', '181S10', '432S5', '152S11', '152S12', '141S7', '217S22', '217S23', '151S7', '151S8'], 45.13880480498559) - Time:7.47800016403
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(['42S52', '42S53', '42S54', '147S18', '147S19', '147S20', '147S21', '147S22', '115S0', '115S1', '115S2', '115S3', '115S4', '115S5', '115S6', '115S7', '115S8', '115S9', '115S10', '115S11', '113S0', '149S25', '625S17', '625S18', '113S1', '113S2', '113S3', '625S21', '113S6', '113S7', '113S8', '113S9', '113S10', '625S27', '625S28', '625S29', '625S30', '113S12', '113S13', '113S14', '113S15', '625S35', '625S36', '113S17', '90S8', '113S19', '113S20', '113S21', '22S21', '113S23', '265S5', '595S7', '595S8', '199S9', '199S10', '199S11', '199S12', '199S13', '199S14', '199S15', '199S16', '151S8'], 37.610853135821095) - Time:7.40699982643
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.96800017357
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(['42S52', '42S53', '28S3', '28S4', '28S5', '28S6', '28S7', '28S8', '147S17', '147S18', '147S19', '147S20', '147S21', '147S22', '115S0', '115S1', '115S2', '115S3', '115S4', '115S5', '115S6', '115S7', '115S8', '115S9', '115S10', '115S11', '113S0', '113S1', '113S2', '625S19', '113S3', '625S21', '216S27', '216S28', '216S29', '216S30', '101S6', '101S7', '101S8', '101S9', '101S10', '101S11', '101S12', '216S40', '216S41', '216S42', '216S43', '216S44', '216S45', '216S46', '216S47', '216S48', '216S49', '216S50', '216S51', '216S52', '165S0', '61S0', '61S1', '165S2', '165S3', '165S4', '165S5', '165S6', '165S7', '165S8', '61S10', '61S11', '61S12', '61S13', '61S14', '61S15', '61S16', '61S17', '61S18', '232S24', '176S4', '84S0', '176S6', '61S20', '61S21', '61S22', '61S23', '176S10', '176S11', '176S12', '232S15', '235S6', '235S7', '235S8', '235S9', '160S8', '199S13', '199S14', '199S15', '199S16', '151S8'], 49.143905948753506) - Time:7.33800005913
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.66999983788
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.66900014877
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.60199999809
Origem - Destino ['155S9', '625S7']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.37699985504
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.27100014687
