AMOSTRAGEM 0
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.65799999237
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.39199995995
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.04099988937
Origem - Destino ['46S11', '41S10']
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.10900020599
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.49699997902
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.65400004387
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.70599985123
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.84200000763
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.5529999733
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.46700000763
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.65600013733
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.37999987602
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.40400004387
Origem - Destino ['208S8', '263S14']
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.50699996948
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.97099995613
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.19400000572
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.84800004959
