stop_id,stop_name,stop_desc,stop_lat,stop_lon
552S14,R 552 552S14,INDIOS VERDES (METRO) - APAXCO 552S14,19.734617360615495,-99.09984537342517
130S6,R 130 130S6,POTRERO (METRO) - PACHUCA 130S6,19.731702599395287,-98.97116627330317
302S8,R 302 302S8,MARTÍN CARRERA (METRO) - SAN LUIS 302S8,19.7307945374159,-98.9710630700932
287S8,R 287 287S8,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 287S8,19.730118932135483,-98.95197598708272
462S11,R 462 462S11,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S11,19.729027452539782,-99.09714619686764
363S20,R 363 363S20,MARTÍN CARRERA (METRO) - EL CARMEN 363S20,19.72779801227134,-98.97067663078052
552S13,R 552 552S13,INDIOS VERDES (METRO) - APAXCO 552S13,19.7240282,-99.0947626
559S19,R 287 559S19,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S19,19.722339364601414,-98.97129148635469
552S12,R 552 552S12,INDIOS VERDES (METRO) - APAXCO 552S12,19.71360056875363,-99.08966677736159
130S5,R 130 130S5,POTRERO (METRO) - PACHUCA 130S5,19.7132700688118,-98.97401675550296
318S14,R 318 318S14,LA RAZA (METRO) - TECÁMAC 318S14,19.711099048328656,-98.97506644620681
363S19,R 363 363S19,MARTÍN CARRERA (METRO) - EL CARMEN 363S19,19.70893932763523,-98.97610683047914
50S11,R 50 50S11,TREN SUBURBANO CUAUTITLAN - DORADO 50S11,19.7087052462753,-99.19313040757001
363S18,R 363 363S18,MARTÍN CARRERA (METRO) - EL CARMEN 363S18,19.706317659913783,-98.97737038234403
559S21,R 287 559S21,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S21,19.70562909577814,-98.97572956057985
174S13,R 174 174S13,CENTRAL CAMIONERA DEL NORTE - SAN MARTÍN DE LAS PIRAMIDES 174S13,19.705454539323156,-98.83673585923508
50S10,R 50 50S10,TREN SUBURBANO CUAUTITLAN - DORADO 50S10,19.702268380908727,-99.19111129077741
559S22,R 287 559S22,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S22,19.701370286693876,-98.9720255687943
363S17,R 363 363S17,MARTÍN CARRERA (METRO) - EL CARMEN 363S17,19.69927865315567,-98.98078105881218
559S23,R 287 559S23,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S23,19.698813425440388,-98.97275036719836
559S24,R 287 559S24,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S24,19.694851372405015,-98.97534687251037
50S9,R 50 50S9,TREN SUBURBANO CUAUTITLAN - DORADO 50S9,19.694646227858424,-99.18869018936384
245S12,R 245 245S12,POTRERO (METRO) - TIZAYUCA 245S12,19.68973820403474,-98.97848517700248
50S8,R 50 50S8,TREN SUBURBANO CUAUTITLAN - DORADO 50S8,19.68959263774703,-99.18713790126682
458S0,R 7 458S0,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 458S0,19.68934265758258,-99.18705369813664
458S1,R 7 458S1,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 458S1,19.68874819155397,-99.19280342663089
559S25,R 287 559S25,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S25,19.68868798392615,-98.97933729112734
7S35,R 7 7S35,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 7S35,19.688333839609825,-99.1886634689707
174S12,R 174 174S12,CENTRAL CAMIONERA DEL NORTE - SAN MARTÍN DE LAS PIRAMIDES 174S12,19.68738046021096,-98.86735444390715
504S38,R 504 504S38,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S38,19.686496988954513,-99.09139338130855
244S28,R 244 244S28,INDIOS VERDES (METRO) - PRADOS 244S28,19.685708509588114,-99.087644895574
504S37,R 504 504S37,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S37,19.685588154165146,-99.08687837153774
7S34,R 7 7S34,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 7S34,19.685358489980985,-99.19877028457039
504S40,R 504 504S40,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S40,19.685065038388352,-99.09737436735436
244S29,R 244 244S29,INDIOS VERDES (METRO) - PRADOS 244S29,19.68501926330396,-99.09443168885961
504S39,R 504 504S39,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S39,19.684927699999996,-99.094106
50S7,R 50 50S7,TREN SUBURBANO CUAUTITLAN - DORADO 50S7,19.684188987876215,-99.18527725783002
504S36,R 504 504S36,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S36,19.682851079002916,-99.08431480057085
7S33,R 7 7S33,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 7S33,19.68279215491654,-99.20187238741623
174S11,R 174 174S11,CENTRAL CAMIONERA DEL NORTE - SAN MARTÍN DE LAS PIRAMIDES 174S11,19.682443678222892,-98.86385183255703
504S41,R 504 504S41,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S41,19.682337517172897,-99.10337217965291
244S27,R 244 244S27,INDIOS VERDES (METRO) - PRADOS 244S27,19.68154318846359,-99.08349551713897
504S35,R 504 504S35,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S35,19.680900758998884,-99.08308842194107
7S32,R 7 7S32,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 7S32,19.680298071033782,-99.20146257097367
245S11,R 245 245S11,POTRERO (METRO) - TIZAYUCA 245S11,19.680274278695936,-98.98540997260562
535S25,R 535 535S25,INDIOS VERDES (METRO) - PRADOS-ALBORADA 535S25,19.67969380399434,-99.08237307798566
504S34,R 504 504S34,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S34,19.677337122573352,-99.08090180108002
50S6,R 50 50S6,TREN SUBURBANO CUAUTITLAN - DORADO 50S6,19.677321389461277,-99.18328585541096
318S12,R 318 318S12,LA RAZA (METRO) - TECÁMAC 318S12,19.677243952564687,-98.98871775271655
50S4,R 50 50S4,TREN SUBURBANO CUAUTITLAN - DORADO 50S4,19.675442768859817,-99.1789665532246
50S5,R 50 50S5,TREN SUBURBANO CUAUTITLAN - DORADO 50S5,19.675098052545625,-99.18164998391188
244S26,R 244 244S26,INDIOS VERDES (METRO) - PRADOS 244S26,19.674565516953077,-99.07914929111341
7S31,R 7 7S31,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 7S31,19.67365447333876,-99.20042472850271
363S16,R 363 363S16,MARTÍN CARRERA (METRO) - EL CARMEN 363S16,19.673559986039052,-99.00264520633573
504S33,R 504 504S33,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S33,19.672559296639918,-99.07788880191956
244S25,R 244 244S25,INDIOS VERDES (METRO) - PRADOS 244S25,19.67216815990432,-99.07790021887202
462S10,R 462 462S10,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S10,19.67181597679639,-99.06923324555449
363S15,R 363 363S15,MARTÍN CARRERA (METRO) - EL CARMEN 363S15,19.67113679634138,-99.00357687608579
50S3,R 50 50S3,TREN SUBURBANO CUAUTITLAN - DORADO 50S3,19.670281607851265,-99.17713557686594
535S24,R 535 535S24,INDIOS VERDES (METRO) - PRADOS-ALBORADA 535S24,19.669861885527414,-99.07619894576041
302S7,R 302 302S7,MARTÍN CARRERA (METRO) - SAN LUIS 302S7,19.668488148362144,-99.00388742913675
363S14,R 363 363S14,MARTÍN CARRERA (METRO) - EL CARMEN 363S14,19.667843513953354,-99.0039389897914
458S2,R 7 458S2,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 458S2,19.66641357918115,-99.19944981091216
535S23,R 535 535S23,INDIOS VERDES (METRO) - PRADOS-ALBORADA 535S23,19.666402215722968,-99.0741273129805
50S2,R 50 50S2,TREN SUBURBANO CUAUTITLAN - DORADO 50S2,19.666218755685733,-99.17827305310944
50S0,R 50 50S0,TREN SUBURBANO CUAUTITLAN - DORADO 50S0,19.665766352450593,-99.17620409972074
244S24,R 244 244S24,INDIOS VERDES (METRO) - PRADOS 244S24,19.66506963168182,-99.07952481835272
535S22,R 535 535S22,INDIOS VERDES (METRO) - PRADOS-ALBORADA 535S22,19.66433531243557,-99.0727849605099
50S1,R 50 50S1,TREN SUBURBANO CUAUTITLAN - DORADO 50S1,19.66225620255118,-99.17655709411618
244S23,R 244 244S23,INDIOS VERDES (METRO) - PRADOS 244S23,19.662096700105014,-99.08013506885165
245S10,R 245 245S10,POTRERO (METRO) - TIZAYUCA 245S10,19.66134354753361,-99.00597206782568
196S2,R 196 196S2,EJE 3 - CUATRO CAMINOS (METRO) 196S2,19.661184557989074,-99.09267639252042
535S21,R 535 535S21,INDIOS VERDES (METRO) - PRADOS-ALBORADA 535S21,19.661067675499048,-99.07059298845104
340S32,R 340 340S32,EL ROSARIO (METRO) - VILLA DE LAS FLORES 340S32,19.66035166289236,-99.09402600773876
196S1,R 196 196S1,EJE 3 - CUATRO CAMINOS (METRO) 196S1,19.660293422384765,-99.08814924409118
318S11,R 318 318S11,LA RAZA (METRO) - TECÁMAC 318S11,19.66004550952678,-99.0072747178645
