shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
144SH,19.285089554110414,-99.19788769455255,3720
144SH,19.284363575730808,-99.2004847798782,3721
144SH,19.283934563203008,-99.20154970202216,3722
144SH,19.283394048747976,-99.20314839629539,3723
144SH,19.283329851600026,-99.20334646990209,3724
144SH,19.2832630951913,-99.20355243897794,3725
145SH,19.41622809605183,-99.09044749192721,3726
145SH,19.41033050689356,-99.08026963880685,3727
145SH,19.41016530002141,-99.07997476867273,3728
145SH,19.40980177515409,-99.07934781068292,3729
145SH,19.390584414011652,-99.0454284693569,3730
145SH,19.383972465547124,-99.03386445544442,3731
145SH,19.380574585501797,-99.02785949242882,3732
145SH,19.355889054450746,-99.00630985937448,3733
145SH,19.350354703488595,-99.00387116894731,3734
145SH,19.34983776656378,-99.0049966450857,3735
145SH,19.349838055542914,-99.0049982879868,3736
145SH,19.3408252487212,-99.00169425213066,3737
145SH,19.34027851516122,-99.0014232642634,3738
146SH,19.499454699999994,-99.1493467,3739
146SH,19.49939367165654,-99.14919650874317,3740
146SH,19.499361547758134,-99.1491174517321,3741
146SH,19.498601756715786,-99.14877054347829,3742
146SH,19.4944837,-99.147154,3743
146SH,19.502494165029493,-99.14948143961914,3744
146SH,19.505330438214994,-99.15096150726188,3745
146SH,19.504420701030448,-99.15334956921578,3746
146SH,19.505912018682917,-99.16674388338899,3747
146SH,19.50691022845934,-99.16986689221584,3748
146SH,19.505753349027703,-99.17477005233008,3749
146SH,19.504319539918008,-99.17420558375028,3750
146SH,19.504308808907403,-99.17420142047737,3751
146SH,19.494068759961035,-99.17017818132975,3752
146SH,19.491636991818233,-99.1692536000638,3753
146SH,19.491099549026295,-99.1713286292665,3754
146SH,19.490931389403062,-99.17285809083968,3755
146SH,19.49005657459243,-99.17737241904116,3756
146SH,19.48977326937745,-99.17926623270691,3757
146SH,19.489544750186685,-99.18092420364006,3758
146SH,19.48598356649703,-99.1822849519359,3759
146SH,19.48298318494494,-99.18293796619855,3760
146SH,19.48195446530142,-99.18349052187361,3761
